Sender_ID,Receiver_ID,Message,Time
123,0,大家好,2024-03-10 21:25:31
123,456,(私聊)你好,2024-03-10 21:25:59
456,123,(私聊)你好,2024-03-10 21:26:00
123,0,你好,2024-03-10 21:26:04
456,0,我好,2024-03-10 21:26:08
123,456,(私聊)你好,2024-03-10 21:28:05
123456,0,你好,2024-03-10 21:44:08
123,0,答,2024-03-10 21:53:20
456,0,你好,2024-03-10 21:54:21
456,123,(私聊)你好,2024-03-10 22:02:38
123,456,(私聊)hushdusd,2024-03-10 22:08:35
123,0,123,2024-03-10 23:25:06
123,456,(私聊)123,2024-03-10 23:25:39
456,0,你好,2024-03-11 08:58:46
123,0,你好,2024-03-11 08:58:54
123,0,你好,2024-03-11 08:59:13
